Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
399,2019,Glover Quin (FA),0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
85,2018,Glover Quin (FA),58,16,1,3,0,0,0,0,16,110.3,6.9,0.0%
9,2017,Glover Quin (FA),60,24,0,6,3,4,1,1,16,168.3,10.5,0.0%
67,2016,Glover Quin (FA),55,13,0,5,2,1,0,0,16,119.1,7.4,0.0%
40,2015,Glover Quin (FA),56,11,0,5,4,1,0,1,16,130.0,8.1,0.0%
27,2014,Glover Quin (FA),57,16,0,10,7,0,0,0,16,152.8,9.6,0.0%
71,2013,Glover Quin (FA),44,13,2,8,3,1,1,0,16,124.0,7.8,0.0%
17,2012,Glover Quin (FA),64,20,1,13,2,2,0,0,16,168.0,10.5,0.0%
61,2011,Glover Quin (FA),59,18,0,9,0,0,1,0,16,124.8,7.8,0.0%
25,2010,Glover Quin (FA),71,14,0,14,3,1,2,0,16,172.9,10.8,0.0%
91,2009,Glover Quin (FA),54,10,0,11,0,0,0,0,15,112.8,7.5,0.0%
