Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
161,2013,Jabari Greer (FA),26,4,0,12,1,0,0,0,10,67.7,6.8,0.0%
98,2012,Jabari Greer (FA),36,15,0,13,3,0,0,0,14,99.9,7.1,0.0%
41,2011,Jabari Greer (FA),60,11,0,18,1,0,0,0,16,138.1,8.6,0.0%
58,2010,Jabari Greer (FA),54,7,0,12,2,0,1,1,14,132.1,9.4,0.0%
106,2009,Jabari Greer (FA),40,3,0,13,2,0,0,1,9,100.4,11.2,0.0%
92,2008,Jabari Greer (FA),31,6,0,7,2,1,0,2,10,92.6,9.3,0.0%
40,2007,Jabari Greer (FA),40,5,0,14,2,1,0,0,16,101.3,6.3,0.0%
224,2006,Jabari Greer (FA),4,1,0,1,0,0,0,0,15,8.3,0.6,0.0%
161,2005,Jabari Greer (FA),19,6,1,3,0,0,0,0,15,41.6,2.8,0.0%
184,2004,Jabari Greer (FA),12,0,1,3,0,0,0,0,11,29.0,2.6,0.0%
