Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
241,2021,Jason McCourty (FA),10,11,0,2,0,0,0,0,6,26.3,4.4,0.0%
181,2020,Jason McCourty (FA),30,11,0,3,0,0,0,0,16,58.1,3.6,0.0%
165,2019,Jason McCourty (FA),31,8,0,6,1,0,0,0,12,66.8,5.6,0.0%
68,2018,Jason McCourty (FA),53,15,0,10,1,1,0,0,16,117.6,7.4,0.0%
17,2017,Jason McCourty (FA),54,11,0,14,3,2,0,1,14,152.1,10.9,0.0%
50,2016,Jason McCourty (FA),59,8,0,12,2,0,1,0,14,126.7,9.1,0.0%
250,2015,Jason McCourty (FA),10,5,0,1,0,0,0,0,4,20.3,5.1,0.0%
10,2014,Jason McCourty (FA),77,8,0,11,3,2,1,1,16,173.8,10.9,0.0%
69,2013,Jason McCourty (FA),54,11,0,11,0,1,1,1,16,125.0,7.8,0.0%
11,2012,Jason McCourty (FA),73,19,0,15,4,1,1,0,16,184.6,11.5,0.0%
7,2011,Jason McCourty (FA),83,20,1,13,2,1,1,0,15,189.7,12.6,0.0%
134,2010,Jason McCourty (FA),34,10,0,10,2,0,0,0,12,86.2,7.2,0.0%
188,2009,Jason McCourty (FA),18,4,0,0,0,1,0,0,15,36.5,2.4,0.0%
