Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
84,2021,Josh Norman (FA),36,13,0,5,1,6,0,0,14,108.1,7.7,1.6%
162,2020,Josh Norman (FA),21,3,0,4,1,1,2,1,9,67.9,7.5,1.6%
140,2019,Josh Norman (FA),33,7,1,6,1,1,0,0,12,79.5,6.6,1.6%
56,2018,Josh Norman (FA),40,24,0,9,3,3,1,0,16,125.4,7.8,1.6%
93,2017,Josh Norman (FA),47,17,0,9,0,2,1,0,14,109.1,7.8,1.6%
19,2016,Josh Norman (FA),52,15,0,19,3,2,0,0,16,146.1,9.1,1.6%
13,2015,Josh Norman (FA),48,8,0,19,4,3,2,2,16,166.3,10.4,1.6%
111,2014,Josh Norman (FA),35,12,0,11,2,1,0,0,14,92.3,6.6,1.6%
270,2013,Josh Norman (FA),3,1,0,0,0,0,0,0,7,7.8,1.1,1.6%
88,2012,Josh Norman (FA),50,21,0,7,1,0,0,0,16,106.6,6.7,1.6%
