Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
317,2021,Justin Bethel (MIA),4,0,0,1,0,0,0,0,7,7.5,1.1,0.0%
404,2020,Justin Bethel (MIA),0,0,0,0,0,0,0,0,15,0.0,0.0,0.0%
278,2019,Justin Bethel (MIA),1,0,0,0,0,0,3,0,16,13.5,0.8,0.0%
345,2018,Justin Bethel (MIA),0,0,0,0,0,0,0,0,14,0.0,0.0,0.0%
181,2017,Justin Bethel (MIA),20,10,0,4,1,0,0,1,16,57.3,3.6,0.0%
156,2016,Justin Bethel (MIA),25,1,0,6,1,0,1,1,16,69.8,4.4,0.0%
137,2015,Justin Bethel (MIA),31,2,0,9,2,0,1,1,16,81.6,5.1,0.0%
262,2014,Justin Bethel (MIA),7,0,0,0,0,0,1,0,16,14.5,0.9,0.0%
286,2013,Justin Bethel (MIA),0,0,0,0,0,0,1,0,16,4.0,0.3,0.0%
273,2012,Justin Bethel (MIA),1,0,0,0,0,0,0,0,16,7.5,0.5,0.0%
