Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
202,2016,Michael Griffin (FA),23,12,0,0,0,0,0,0,13,46.1,3.5,5.0%
29,2015,Michael Griffin (FA),65,34,1,3,1,0,0,0,15,146.8,9.8,5.0%
4,2014,Michael Griffin (FA),84,26,3,5,2,0,0,0,16,190.4,11.9,5.0%
51,2013,Michael Griffin (FA),61,21,0,4,1,2,1,0,14,133.0,9.5,5.0%
37,2012,Michael Griffin (FA),60,19,1,4,4,2,0,0,16,149.9,9.4,5.0%
48,2011,Michael Griffin (FA),59,16,0,7,2,1,0,0,16,133.0,8.3,5.0%
4,2010,Michael Griffin (FA),86,21,0,12,4,2,2,0,16,204.1,12.8,5.0%
57,2009,Michael Griffin (FA),53,18,1,7,1,2,2,0,16,136.3,8.5,5.0%
20,2008,Michael Griffin (FA),47,17,1,11,7,1,1,1,16,157.9,9.9,5.0%
50,2007,Michael Griffin (FA),33,9,0,7,3,1,0,0,16,86.0,5.4,5.0%
