Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
339,2019,Mike Adams (FA),2,0,0,0,0,0,0,0,7,3.0,0.4,0.4%
57,2018,Mike Adams (FA),47,28,0,6,3,0,0,0,16,123.6,7.7,0.4%
51,2017,Mike Adams (FA),48,21,0,10,2,2,2,0,16,131.6,8.2,0.4%
31,2016,Mike Adams (FA),62,17,0,2,2,2,2,0,15,137.7,9.2,0.4%
17,2015,Mike Adams (FA),52,23,1,6,5,3,1,1,13,158.2,12.2,0.4%
9,2014,Mike Adams (FA),67,20,0,11,5,2,2,0,16,175.8,11.0,0.4%
110,2013,Mike Adams (FA),45,16,0,6,1,0,1,0,16,100.5,6.3,0.4%
44,2012,Mike Adams (FA),60,20,1,11,0,2,2,0,16,144.3,9.0,0.4%
80,2011,Mike Adams (FA),41,20,0,6,3,1,1,0,16,109.0,6.8,0.4%
146,2010,Mike Adams (FA),31,3,1,6,2,0,0,0,15,74.3,5.0,0.4%
92,2009,Mike Adams (FA),50,9,1,8,0,0,1,0,16,112.0,7.0,0.4%
112,2008,Mike Adams (FA),33,8,0,2,2,0,1,0,14,75.3,5.4,0.4%
154,2007,Mike Adams (FA),11,2,1,2,0,0,1,0,15,29.1,1.9,0.4%
118,2006,Mike Adams (FA),45,11,0,3,0,0,0,0,16,80.5,5.0,0.4%
37,2005,Mike Adams (FA),55,17,1,10,4,0,1,1,14,144.5,10.3,0.4%
210,2004,Mike Adams (FA),4,1,0,1,1,0,1,0,7,17.3,2.5,0.4%
