Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
400,2019,Mike Mitchell (FA),0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
183,2018,Mike Mitchell (FA),22,6,0,1,1,2,0,0,8,52.1,6.5,0.0%
141,2017,Mike Mitchell (FA),35,18,0,2,0,0,1,0,13,75.7,5.8,0.0%
57,2016,Mike Mitchell (FA),55,22,0,9,1,0,1,0,16,121.8,7.6,0.0%
26,2015,Mike Mitchell (FA),58,22,0,9,3,2,2,0,16,148.3,9.3,0.0%
91,2014,Mike Mitchell (FA),53,18,0,3,0,2,0,0,16,105.8,6.6,0.0%
24,2013,Mike Mitchell (FA),50,16,3.5,8,4,2,0,0,15,151.4,10.1,0.0%
168,2012,Mike Mitchell (FA),24,8,1,0,0,0,0,0,16,51.1,3.2,0.0%
168,2011,Mike Mitchell (FA),18,8,1,5,1,0,0,0,13,52.2,4.0,0.0%
126,2010,Mike Mitchell (FA),36,10,0,5,1,1,1,0,16,92.3,5.8,0.0%
197,2009,Mike Mitchell (FA),8,5,1.5,0,0,0,1,0,16,28.4,1.8,0.0%
