Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
552,2021,Nate Ebner (FA),0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
327,2020,Nate Ebner (FA),2,0,0,1,0,0,0,0,16,4.5,0.3,0.0%
375,2019,Nate Ebner (FA),0,0,0,0,0,0,0,0,14,0.0,0.0,0.0%
346,2018,Nate Ebner (FA),0,0,0,0,0,0,0,0,15,0.0,0.0,0.0%
336,2017,Nate Ebner (FA),0,0,0,0,0,0,0,0,9,0.0,0.0,0.0%
350,2016,Nate Ebner (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
335,2015,Nate Ebner (FA),0,0,0,0,0,0,0,0,15,0.0,0.0,0.0%
310,2014,Nate Ebner (FA),2,1,0,0,0,0,0,0,12,3.8,0.3,0.0%
267,2013,Nate Ebner (FA),0,0,0,0,0,0,2,0,15,8.0,0.5,0.0%
307,2012,Nate Ebner (FA),1,0,0,0,0,0,0,0,15,1.5,0.1,0.0%
