Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
282,2013,Nnamdi Asomugha (FA),2,0,0,1,0,0,0,0,3,4.5,1.5,0.0%
91,2012,Nnamdi Asomugha (FA),47,8,0,12,1,0,0,0,16,104.8,6.6,0.0%
119,2011,Nnamdi Asomugha (FA),35,5,0,5,3,0,0,0,16,88.9,5.6,0.0%
187,2010,Nnamdi Asomugha (FA),17,2,0,6,0,0,0,0,14,36.1,2.6,0.0%
136,2009,Nnamdi Asomugha (FA),30,4,0,3,1,0,0,0,16,77.7,4.9,0.0%
102,2008,Nnamdi Asomugha (FA),33,7,0,9,1,1,0,0,15,85.0,5.7,0.0%
90,2007,Nnamdi Asomugha (FA),32,2,0,7,1,0,0,0,15,65.1,4.3,0.0%
22,2006,Nnamdi Asomugha (FA),48,3,1,19,8,1,0,1,15,156.9,10.5,0.0%
77,2005,Nnamdi Asomugha (FA),55,5,0,14,0,0,0,0,16,107.5,6.7,0.0%
135,2004,Nnamdi Asomugha (FA),33,6,1,3,0,0,0,0,15,65.2,4.3,0.0%
166,2003,Nnamdi Asomugha (FA),17,8,0,0,0,0,1,0,13,35.7,2.7,0.0%
