Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
151,2019,Patrick Chung (FA),38,13,0,3,0,0,0,0,13,74.0,5.7,0.0%
70,2018,Patrick Chung (FA),51,30,0.5,3,1,0,1,0,15,117.3,7.8,0.0%
26,2017,Patrick Chung (FA),67,11,0,9,1,0,2,0,16,143.2,9.0,0.0%
70,2016,Patrick Chung (FA),48,39,1,3,1,0,0,0,16,117.6,7.4,0.0%
57,2015,Patrick Chung (FA),49,33,0,9,0,1,0,0,15,121.0,8.1,0.0%
53,2014,Patrick Chung (FA),54,30,0,8,1,0,0,0,16,128.3,8.0,0.0%
137,2013,Patrick Chung (FA),38,20,0,3,0,0,1,0,12,83.3,6.9,0.0%
126,2012,Patrick Chung (FA),29,14,0,5,2,0,0,0,12,76.8,6.4,0.0%
115,2011,Patrick Chung (FA),37,25,1,4,1,0,0,0,8,92.0,11.5,0.0%
35,2010,Patrick Chung (FA),67,21,0,9,3,0,0,1,14,160.9,11.5,0.0%
172,2009,Patrick Chung (FA),16,7,2,1,1,0,0,0,16,49.0,3.1,0.0%
