Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
136,2021,Patrick Peterson (MIN),34,11,0,5,1,0,0,1,13,83.1,6.4,0.8%
73,2020,Patrick Peterson (MIN),52,9,0,8,3,0,0,0,16,112.1,7.0,0.8%
71,2019,Patrick Peterson (MIN),46,7,1,7,2,1,0,0,11,110.5,10.0,0.8%
94,2018,Patrick Peterson (MIN),45,9,1,5,2,0,1,0,16,104.8,6.6,0.8%
157,2017,Patrick Peterson (MIN),30,4,0,8,1,0,1,0,16,69.2,4.3,0.8%
104,2016,Patrick Peterson (MIN),44,6,0,6,3,0,0,0,16,97.3,6.1,0.8%
140,2015,Patrick Peterson (MIN),33,0,0,8,2,1,0,0,16,78.0,4.9,0.8%
93,2014,Patrick Peterson (MIN),43,7,1,7,3,0,0,1,16,105.5,6.6,0.8%
118,2013,Patrick Peterson (MIN),40,2,0,13,3,0,0,0,16,96.1,6.0,0.8%
38,2012,Patrick Peterson (MIN),52,3,0,16,7,0,1,0,16,148.4,9.3,0.8%
56,2011,Patrick Peterson (MIN),59,5,1,13,2,0,0,0,16,128.4,8.0,0.8%
