Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
160,2015,Rashean Mathis (FA),28,3,0,4,1,1,0,0,7,66.9,9.6,0.0%
103,2014,Rashean Mathis (FA),42,9,0,9,1,1,0,1,16,98.5,6.2,0.0%
120,2013,Rashean Mathis (FA),44,3,0,15,0,0,0,0,15,95.8,6.4,0.0%
189,2012,Rashean Mathis (FA),20,0,0,5,0,0,0,0,12,37.5,3.1,0.0%
144,2011,Rashean Mathis (FA),32,2,0,4,1,0,1,0,9,67.1,7.5,0.0%
115,2010,Rashean Mathis (FA),46,11,0,6,1,1,0,0,16,98.0,6.1,0.0%
125,2009,Rashean Mathis (FA),29,4,0,7,3,2,1,0,10,84.2,8.4,0.0%
49,2008,Rashean Mathis (FA),39,1,1,9,4,1,1,2,12,121.8,10.2,0.0%
39,2007,Rashean Mathis (FA),54,5,0,6,1,1,0,0,14,103.0,7.4,0.0%
21,2006,Rashean Mathis (FA),54,7,0,21,8,0,0,0,16,158.1,9.9,0.0%
31,2005,Rashean Mathis (FA),55,9,0,15,5,0,1,1,16,149.4,9.3,0.0%
41,2004,Rashean Mathis (FA),52,10,0,21,5,1,0,0,16,151.2,9.5,0.0%
50,2003,Rashean Mathis (FA),68,10,0,10,2,0,1,0,16,143.7,9.0,0.0%
