Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
239,2021,Richard Sherman (FA),11,0,0,1,1,0,1,0,4,27.0,6.8,0.1%
227,2020,Richard Sherman (FA),16,2,0,1,1,0,0,0,5,34.6,6.9,0.1%
54,2019,Richard Sherman (FA),48,13,0,11,3,0,0,1,15,124.5,8.3,0.1%
155,2018,Richard Sherman (FA),30,7,1,4,0,0,1,0,14,72.0,5.1,0.1%
158,2017,Richard Sherman (FA),25,10,0,7,2,0,0,0,9,68.3,7.6,0.1%
62,2016,Richard Sherman (FA),38,20,0,13,4,0,1,0,16,120.7,7.5,0.1%
113,2015,Richard Sherman (FA),33,17,0,14,2,0,0,0,16,96.0,6.0,0.1%
67,2014,Richard Sherman (FA),45,12,0,8,4,1,0,0,16,117.8,7.4,0.1%
48,2013,Richard Sherman (FA),38,10,0,16,8,0,0,1,16,134.7,8.4,0.1%
3,2012,Richard Sherman (FA),54,11,1,24,8,3,1,1,16,197.5,12.3,0.1%
62,2011,Richard Sherman (FA),46,7,0,17,4,1,0,0,16,124.0,7.8,0.1%
