Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
4,2012,Ronde Barber (FA),71,21,1,13,4,1,0,1,16,196.1,12.3,0.0%
20,2011,Ronde Barber (FA),67,12,1,9,3,1,1,0,16,165.4,10.3,0.0%
21,2010,Ronde Barber (FA),66,16,1,13,3,0,0,0,16,174.8,10.9,0.0%
18,2009,Ronde Barber (FA),69,8,2,6,0,2,1,0,16,167.3,10.5,0.0%
9,2008,Ronde Barber (FA),65,8,2,12,4,0,1,1,16,172.3,10.8,0.0%
14,2007,Ronde Barber (FA),47,10,1,14,2,1,2,2,16,137.3,8.6,0.0%
4,2006,Ronde Barber (FA),85,15,0,16,3,2,0,2,16,198.1,12.4,0.0%
3,2005,Ronde Barber (FA),82,16,2,20,5,0,1,0,16,202.3,12.6,0.0%
3,2004,Ronde Barber (FA),77,15,3,13,3,2,2,2,16,224.1,14.0,0.0%
4,2003,Ronde Barber (FA),80,19,1.5,6,2,3,1,1,16,201.6,12.6,0.0%
11,2002,Ronde Barber (FA),63,12,3,20,2,0,0,0,16,178.3,11.1,0.0%
