Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
132,2021,Tashaun Gipson Sr. (SF),33,14,1,3,2,0,1,0,12,85.3,7.1,0.1%
77,2020,Tashaun Gipson Sr. (SF),48,18,0,7,2,0,1,0,16,110.3,6.9,0.1%
83,2019,Tashaun Gipson Sr. (SF),37,14,0,8,3,0,0,1,14,104.2,7.4,0.1%
110,2018,Tashaun Gipson Sr. (SF),44,11,0,7,1,0,0,0,16,92.7,5.8,0.1%
48,2017,Tashaun Gipson Sr. (SF),53,11,0,7,4,0,1,0,16,132.6,8.3,0.1%
161,2016,Tashaun Gipson Sr. (SF),34,7,0,2,1,0,0,0,16,64.4,4.0,0.1%
119,2015,Tashaun Gipson Sr. (SF),42,18,0,2,2,0,0,0,13,94.8,7.3,0.1%
72,2014,Tashaun Gipson Sr. (SF),28,24,0,8,6,1,0,1,11,117.3,10.7,0.1%
13,2013,Tashaun Gipson Sr. (SF),63,32,0,12,5,0,0,1,16,173.1,10.8,0.1%
177,2012,Tashaun Gipson Sr. (SF),23,6,0,1,1,0,0,0,10,45.8,4.6,0.1%
