Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
253,2012,Terrence McGee (FA),6,2,0,2,0,0,0,0,4,13.5,3.4,0.0%
186,2011,Terrence McGee (FA),26,2,0,2,0,0,0,0,4,46.1,11.5,0.0%
209,2010,Terrence McGee (FA),11,5,0,2,0,0,0,0,7,25.9,3.7,0.0%
124,2009,Terrence McGee (FA),40,8,0,7,1,0,0,0,11,84.2,7.7,0.0%
69,2008,Terrence McGee (FA),49,3,0,13,1,0,0,0,10,107.8,10.8,0.0%
63,2007,Terrence McGee (FA),28,6,0,14,2,0,0,0,7,77.6,11.1,0.0%
44,2006,Terrence McGee (FA),64,13,0,11,0,1,1,1,15,136.5,9.1,0.0%
25,2005,Terrence McGee (FA),60,13,0,15,4,1,1,1,15,156.6,10.4,0.0%
12,2004,Terrence McGee (FA),71,16,2,15,3,0,1,0,16,178.4,11.2,0.0%
137,2003,Terrence McGee (FA),18,3,1,6,2,1,0,0,14,56.4,4.0,0.0%
