Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
312,2020,Tramaine Brock Sr. (FA),5,0,0,0,0,0,0,0,1,7.5,7.5,0.0%
114,2019,Tramaine Brock Sr. (FA),45,5,0,5,0,0,0,0,14,89.0,6.4,0.0%
208,2018,Tramaine Brock Sr. (FA),19,4,0,6,0,0,0,0,12,40.7,3.4,0.0%
280,2017,Tramaine Brock Sr. (FA),5,1,0,1,0,0,0,0,11,9.8,0.9,0.0%
53,2016,Tramaine Brock Sr. (FA),49,10,0,14,1,1,0,0,16,123.9,7.7,0.0%
84,2015,Tramaine Brock Sr. (FA),45,8,0,11,3,0,0,0,15,110.2,7.3,0.0%
276,2014,Tramaine Brock Sr. (FA),7,0,0,0,0,0,0,0,3,10.5,3.5,0.0%
109,2013,Tramaine Brock Sr. (FA),33,2,0,13,5,0,0,1,16,101.6,6.4,0.0%
299,2012,Tramaine Brock Sr. (FA),1,0,0,1,0,0,0,0,16,3.0,0.2,0.0%
223,2011,Tramaine Brock Sr. (FA),4,0,0,4,2,0,0,0,11,24.5,2.2,0.0%
273,2010,Tramaine Brock Sr. (FA),3,0,0,0,0,0,0,0,3,4.5,1.5,0.0%
