Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
197,2017,William Gay (FA),16,3,0,3,1,2,0,0,16,43.9,2.7,0.1%
93,2016,William Gay (FA),42,16,1,7,1,1,0,0,16,103.9,6.5,0.1%
47,2015,William Gay (FA),46,12,1,7,2,0,0,1,16,126.2,7.9,0.1%
34,2014,William Gay (FA),54,10,0,12,3,0,0,3,16,142.2,8.9,0.1%
47,2013,William Gay (FA),55,8,1,9,1,2,0,1,16,135.2,8.5,0.1%
61,2012,William Gay (FA),45,12,1,6,2,3,1,0,16,125.7,7.9,0.1%
57,2011,William Gay (FA),49,12,0,13,2,0,1,0,16,126.3,7.9,0.1%
125,2010,William Gay (FA),34,5,2,11,0,1,0,0,16,93.4,5.8,0.1%
48,2009,William Gay (FA),67,8,1,10,0,1,0,0,16,139.7,8.7,0.1%
130,2008,William Gay (FA),26,6,0,7,1,0,0,0,16,61.6,3.9,0.1%
178,2007,William Gay (FA),5,3,0,2,0,0,1,0,16,16.8,1.1,0.1%
