Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
333,2017,Ahmad Brooks (FA),13,6,1.5,2,0,0,0,0,12,0.0,0.0,0.0%
321,2016,Ahmad Brooks (FA),41,12,6,4,0,1,0,0,16,0.0,0.0,0.0%
330,2015,Ahmad Brooks (FA),28,14,6.5,1,0,0,1,0,14,0.0,0.0,0.0%
300,2014,Ahmad Brooks (FA),25,5,6,3,0,1,1,0,13,0.0,0.0,0.0%
281,2013,Ahmad Brooks (FA),52,8,8.5,7,1,1,0,0,16,0.0,0.0,0.0%
276,2012,Ahmad Brooks (FA),36,12,6.5,6,1,2,0,1,16,0.0,0.0,0.0%
321,2011,Ahmad Brooks (FA),35,15,7,3,0,1,0,0,16,0.0,0.0,0.0%
333,2010,Ahmad Brooks (FA),24,2,5,2,1,0,0,0,15,0.0,0.0,0.0%
323,2009,Ahmad Brooks (FA),15,1,6,2,0,5,0,0,14,0.0,0.0,0.0%
312,2007,Ahmad Brooks (FA),5,1,1,0,0,1,0,0,2,0.0,0.0,0.0%
356,2006,Ahmad Brooks (FA),20,9,1,2,0,0,0,0,10,0.0,0.0,0.0%
