Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
126,2021,Akiem Hicks (TB),19,6,3.5,0,0,0,0,0,9,59.7,6.6,0.8%
39,2020,Akiem Hicks (TB),30,19,3.5,1,0,0,1,0,15,96.7,6.4,0.8%
195,2019,Akiem Hicks (TB),10,0,1,0,0,0,1,0,5,25.5,5.1,0.8%
15,2018,Akiem Hicks (TB),41,14,7.5,5,0,3,0,0,16,151.7,9.5,0.8%
17,2017,Akiem Hicks (TB),39,15,8.5,0,0,0,2,0,16,149.6,9.4,0.8%
16,2016,Akiem Hicks (TB),36,18,7,2,0,2,1,0,16,138.4,8.7,0.8%
109,2015,Akiem Hicks (TB),9,14,3,0,0,0,1,1,16,58.8,3.7,0.8%
70,2014,Akiem Hicks (TB),27,14,2,0,0,0,0,0,15,76.8,5.1,0.8%
50,2013,Akiem Hicks (TB),29,27,4.5,0,0,0,0,0,16,102.2,6.4,0.8%
154,2012,Akiem Hicks (TB),10,10,0,1,0,1,0,0,14,33.3,2.4,0.8%
