Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
187,2020,Allen Bailey (FA),8,7,1.5,0,0,0,0,0,16,28.6,1.8,0.0%
152,2019,Allen Bailey (FA),14,12,1,0,0,0,0,0,15,44.3,3.0,0.0%
36,2018,Allen Bailey (FA),27,11,6,0,0,2,4,1,16,115.6,7.2,0.0%
90,2017,Allen Bailey (FA),21,17,2,0,0,0,0,0,14,67.6,4.8,0.0%
239,2016,Allen Bailey (FA),5,2,0,0,0,0,0,0,5,11.6,2.3,0.0%
54,2015,Allen Bailey (FA),26,12,4.5,0,0,2,1,0,12,95.8,8.0,0.0%
47,2014,Allen Bailey (FA),27,14,5,2,0,0,0,0,14,99.2,7.1,0.0%
119,2013,Allen Bailey (FA),25,5,1,2,0,0,0,0,15,50.9,3.4,0.0%
218,2012,Allen Bailey (FA),3,2,0,0,0,0,1,0,10,10.1,1.0,0.0%
161,2011,Allen Bailey (FA),8,2,1,2,0,0,1,0,16,34.5,2.2,0.0%
