Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
189,2013,Andre Carter (FA),3,1,2,2,0,0,0,0,9,21.3,2.4,0.0%
120,2012,Andre Carter (FA),13,6,2.5,0,0,1,0,0,12,48.2,4.0,0.0%
19,2011,Andre Carter (FA),31,21,10,1,0,2,0,0,14,144.6,10.3,0.0%
75,2010,Andre Carter (FA),25,19,2.5,1,0,1,1,0,16,79.1,4.9,0.0%
1,2009,Andre Carter (FA),48,14,11,4,0,3,0,0,16,192.3,12.0,0.0%
44,2008,Andre Carter (FA),24,13,4,2,0,0,0,0,16,82.5,5.2,0.0%
4,2007,Andre Carter (FA),42,12,10.5,2,0,4,1,0,16,137.3,8.6,0.0%
23,2006,Andre Carter (FA),47,9,6,2,0,0,0,0,16,104.5,6.5,0.0%
57,2005,Andre Carter (FA),35,9,4.5,2,0,0,0,0,16,80.6,5.0,0.0%
161,2004,Andre Carter (FA),8,2,2,1,0,1,0,0,7,34.6,4.9,0.0%
59,2003,Andre Carter (FA),27,7,6.5,3,0,1,0,0,15,98.0,6.5,0.0%
5,2002,Andre Carter (FA),45,9,12.5,4,0,3,1,0,15,181.6,12.1,0.0%
