Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
327,2015,Barry Cofield (FA),0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%
221,2014,Barry Cofield (FA),5,2,1,0,0,0,0,0,8,18.1,2.3,0.0%
98,2013,Barry Cofield (FA),17,15,2.5,1,0,0,1,0,16,65.0,4.1,0.0%
86,2012,Barry Cofield (FA),15,21,2.5,5,0,1,0,0,16,72.7,4.5,0.0%
81,2011,Barry Cofield (FA),15,10,3,8,0,0,1,0,16,70.8,4.4,0.0%
21,2010,Barry Cofield (FA),40,14,4,4,0,1,1,0,16,120.7,7.5,0.0%
98,2009,Barry Cofield (FA),23,12,1,2,0,0,0,0,16,63.3,4.0,0.0%
34,2008,Barry Cofield (FA),32,12,3,1,0,1,0,0,15,89.8,6.0,0.0%
57,2007,Barry Cofield (FA),29,5,1,1,0,0,0,0,16,55.5,3.5,0.0%
81,2006,Barry Cofield (FA),32,12,1.5,3,0,0,0,0,16,67.8,4.2,0.0%
