Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
171,2014,Brett Keisel (FA),8,9,1,5,1,0,0,0,12,38.0,3.2,0.0%
86,2013,Brett Keisel (FA),20,9,4,1,0,1,2,0,12,73.9,6.2,0.0%
60,2012,Brett Keisel (FA),26,20,4.5,1,0,0,1,0,16,87.8,5.5,0.0%
44,2011,Brett Keisel (FA),33,15,3,6,0,2,1,0,14,106.6,7.6,0.0%
71,2010,Brett Keisel (FA),17,16,3,7,1,2,0,1,11,81.6,7.4,0.0%
32,2009,Brett Keisel (FA),36,18,3,2,0,1,2,0,15,104.7,7.0,0.0%
76,2008,Brett Keisel (FA),22,19,1,2,0,0,0,0,10,64.5,6.5,0.0%
38,2007,Brett Keisel (FA),22,16,2,6,0,0,0,0,16,62.3,3.9,0.0%
24,2006,Brett Keisel (FA),38,18,5.5,4,0,0,1,0,16,102.9,6.4,0.0%
135,2005,Brett Keisel (FA),13,5,3,2,0,1,1,0,16,46.4,2.9,0.0%
231,2004,Brett Keisel (FA),3,3,0,0,0,0,0,0,11,6.9,0.6,0.0%
231,2002,Brett Keisel (FA),0,0,0,0,0,0,1,0,3,4.0,1.3,0.0%
