Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
131,2017,Brian Robison (FA),15,5,4,2,0,0,0,0,15,52.9,3.5,0.0%
49,2016,Brian Robison (FA),18,10,7.5,1,0,3,0,0,16,95.9,6.0,0.0%
37,2015,Brian Robison (FA),30,4,5,3,0,1,2,0,16,104.7,6.5,0.0%
98,2014,Brian Robison (FA),18,7,4.5,2,0,0,0,0,16,65.9,4.1,0.0%
26,2013,Brian Robison (FA),25,12,9,3,0,0,1,1,16,127.2,8.0,0.0%
25,2012,Brian Robison (FA),26,11,8.5,7,0,3,1,0,15,123.1,8.2,0.0%
27,2011,Brian Robison (FA),27,17,8,1,0,3,2,0,16,122.0,7.6,0.0%
133,2010,Brian Robison (FA),13,2,2,0,0,0,2,0,16,47.0,2.9,0.0%
127,2009,Brian Robison (FA),8,2,4.5,0,0,1,0,0,16,50.6,3.2,0.0%
145,2008,Brian Robison (FA),7,7,2.5,0,0,1,0,0,15,37.4,2.5,0.0%
42,2007,Brian Robison (FA),19,5,4.5,0,0,1,0,0,16,59.4,3.7,0.0%
