Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
73,2021,Calais Campbell (BAL),29,20,1.5,1,0,0,1,0,15,83.0,5.5,4.6%
78,2020,Calais Campbell (BAL),18,10,4,6,0,0,0,0,12,72.2,6.0,4.6%
18,2019,Calais Campbell (BAL),37,19,6.5,1,0,2,1,1,16,140.7,8.8,4.6%
4,2018,Calais Campbell (BAL),53,19,10.5,2,0,1,1,0,16,196.9,12.3,4.6%
2,2017,Calais Campbell (BAL),47,20,14.5,3,0,3,1,1,16,205.4,12.8,4.6%
1,2016,Calais Campbell (BAL),34,19,8,6,1,2,3,1,16,167.5,10.5,4.6%
12,2015,Calais Campbell (BAL),46,15,5,3,0,0,1,0,16,149.1,9.3,4.6%
12,2014,Calais Campbell (BAL),48,10,7,3,1,1,0,0,14,161.3,11.5,4.6%
7,2013,Calais Campbell (BAL),45,13,9,6,0,1,2,0,16,169.6,10.6,4.6%
16,2012,Calais Campbell (BAL),50,13,6.5,6,0,0,0,0,13,152.6,11.7,4.6%
2,2011,Calais Campbell (BAL),53,19,8,10,1,2,1,0,16,190.6,11.9,4.6%
12,2010,Calais Campbell (BAL),46,14,6,2,0,0,1,0,15,143.3,9.6,4.6%
17,2009,Calais Campbell (BAL),35,11,7,5,0,1,0,0,16,120.7,7.5,4.6%
138,2008,Calais Campbell (BAL),17,4,0,1,0,1,0,0,16,39.2,2.5,4.6%
