Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
339,2019,Cameron Wake (FA),3,1,2.5,1,0,0,0,0,9,0.0,0.0,0.0%
248,2018,Cameron Wake (FA),21,15,6,1,0,1,0,0,14,7.0,0.5,0.0%
283,2017,Cameron Wake (FA),26,10,10.5,0,0,0,0,0,16,1.5,0.1,0.0%
217,2016,Cameron Wake (FA),22,7,11.5,2,1,5,0,0,16,17.5,1.1,0.0%
352,2015,Cameron Wake (FA),7,2,7,1,0,4,0,0,7,0.0,0.0,0.0%
331,2014,Cameron Wake (FA),32,6,11.5,3,0,3,1,0,16,0.0,0.0,0.0%
286,2013,Cameron Wake (FA),29,8,8.5,0,0,2,1,0,15,0.0,0.0,0.0%
277,2012,Cameron Wake (FA),38,15,15,1,0,3,0,0,16,0.0,0.0,0.0%
299,2011,Cameron Wake (FA),37,5,8.5,2,0,0,0,0,16,0.0,0.0,0.0%
318,2010,Cameron Wake (FA),48,9,14,4,0,3,0,0,16,0.0,0.0,0.0%
310,2009,Cameron Wake (FA),10,1,5.5,1,0,1,0,0,14,0.0,0.0,0.0%
