Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
30,2021,Carlos Dunlap II (KC),24,11,8.5,7,0,1,0,0,16,113.0,7.1,0.7%
52,2020,Carlos Dunlap II (KC),20,12,6,4,0,0,0,0,15,89.2,5.9,0.7%
7,2019,Carlos Dunlap II (KC),39,24,9,8,0,2,0,0,14,165.3,11.8,0.7%
21,2018,Carlos Dunlap II (KC),31,16,8,8,0,2,1,0,16,134.8,8.4,0.7%
18,2017,Carlos Dunlap II (KC),35,11,7.5,7,1,1,0,1,16,146.5,9.2,0.7%
11,2016,Carlos Dunlap II (KC),30,19,8,15,0,3,0,0,16,143.4,9.0,0.7%
7,2015,Carlos Dunlap II (KC),37,18,13.5,1,0,2,1,0,16,176.8,11.1,0.7%
8,2014,Carlos Dunlap II (KC),40,26,8,5,0,2,1,0,16,171.5,10.7,0.7%
14,2013,Carlos Dunlap II (KC),39,19,7.5,5,0,4,1,0,16,150.6,9.4,0.7%
18,2012,Carlos Dunlap II (KC),34,7,6,3,1,4,3,1,14,144.1,10.3,0.7%
88,2011,Carlos Dunlap II (KC),11,12,4.5,3,0,0,1,1,12,68.2,5.7,0.7%
40,2010,Carlos Dunlap II (KC),19,5,9.5,3,0,0,1,0,12,101.4,8.5,0.7%
