Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
158,2015,Chris Canty (FA),11,8,1,1,0,0,0,0,9,38.2,4.2,0.0%
135,2014,Chris Canty (FA),13,20,0.5,2,0,1,0,0,11,46.1,4.2,0.0%
99,2013,Chris Canty (FA),20,10,2,4,0,2,0,0,15,64.7,4.3,0.0%
101,2012,Chris Canty (FA),20,6,3,0,0,0,0,0,9,59.2,6.6,0.0%
47,2011,Chris Canty (FA),31,16,4,1,0,0,0,0,16,103.9,6.5,0.0%
79,2010,Chris Canty (FA),28,11,1.5,3,0,1,0,0,16,74.9,4.7,0.0%
203,2009,Chris Canty (FA),8,5,0.5,0,0,0,0,0,8,20.3,2.5,0.0%
57,2008,Chris Canty (FA),25,12,3,5,0,0,0,0,16,76.3,4.8,0.0%
24,2007,Chris Canty (FA),30,13,3.5,2,0,0,1,0,16,76.1,4.8,0.0%
125,2006,Chris Canty (FA),24,9,1,1,0,0,0,0,16,48.4,3.0,0.0%
92,2005,Chris Canty (FA),24,12,2.5,0,0,1,0,0,16,61.9,3.9,0.0%
