Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
102,2015,Chris Clemons (FA),13,1,3,1,0,1,1,1,16,60.3,3.8,0.0%
31,2014,Chris Clemons (FA),27,9,8,3,0,4,1,0,16,119.1,7.4,0.0%
100,2013,Chris Clemons (FA),12,12,4.5,2,0,1,0,0,14,62.3,4.5,0.0%
20,2012,Chris Clemons (FA),31,9,11.5,4,0,3,1,0,16,141.5,8.8,0.0%
10,2011,Chris Clemons (FA),34,17,11,5,0,3,0,0,16,157.5,9.8,0.0%
13,2010,Chris Clemons (FA),33,16,11,4,0,1,1,0,16,142.5,8.9,0.0%
180,2009,Chris Clemons (FA),4,3,3,1,0,0,0,0,16,29.4,1.8,0.0%
102,2008,Chris Clemons (FA),6,1,4,1,0,1,2,1,16,52.8,3.3,0.0%
33,2007,Chris Clemons (FA),12,5,8,1,0,2,1,0,16,67.4,4.2,0.0%
180,2005,Chris Clemons (FA),6,1,2,1,0,1,0,0,14,23.3,1.7,0.0%
167,2004,Chris Clemons (FA),6,0,3,1,0,1,0,0,6,31.5,5.3,0.0%
