Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
338,2019,Clay Matthews (FA),27,10,8,3,0,2,0,0,13,0.0,0.0,0.0%
311,2018,Clay Matthews (FA),29,14,3.5,0,0,1,0,0,16,0.0,0.0,0.0%
334,2017,Clay Matthews (FA),27,16,7.5,2,0,1,1,0,14,0.0,0.0,0.0%
341,2016,Clay Matthews (FA),20,4,5,3,0,1,0,0,12,0.0,0.0,0.0%
353,2015,Clay Matthews (FA),49,17,6.5,3,1,0,1,0,16,0.0,0.0,0.0%
333,2014,Clay Matthews (FA),45,16,11,9,1,2,0,0,16,0.0,0.0,0.0%
288,2013,Clay Matthews (FA),26,15,7.5,1,0,3,0,0,11,0.0,0.0,0.0%
286,2012,Clay Matthews (FA),32,11,13,3,0,1,0,0,12,0.0,0.0,0.0%
301,2011,Clay Matthews (FA),37,13,6,9,3,3,0,1,15,0.0,0.0,0.0%
320,2010,Clay Matthews (FA),54,6,13.5,4,1,2,0,1,15,0.0,0.0,0.0%
312,2009,Clay Matthews (FA),37,13,10,7,0,1,3,1,16,0.0,0.0,0.0%
