Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
287,2015,Colin Cole (FA),0,1,0,0,0,0,0,0,2,0.8,0.4,0.0%
141,2014,Colin Cole (FA),12,16,0,0,0,0,1,0,16,44.3,2.8,0.0%
176,2013,Colin Cole (FA),9,6,1,0,0,0,0,0,15,24.7,1.6,0.0%
73,2010,Colin Cole (FA),36,8,1,5,0,0,0,0,11,79.2,7.2,0.0%
88,2009,Colin Cole (FA),29,19,0,2,0,0,1,0,16,67.7,4.2,0.0%
106,2008,Colin Cole (FA),19,11,0.5,4,0,0,0,0,16,50.0,3.1,0.0%
157,2007,Colin Cole (FA),7,5,0,1,0,0,0,0,7,15.9,2.3,0.0%
104,2006,Colin Cole (FA),28,10,1,0,0,1,0,0,15,57.9,3.9,0.0%
105,2005,Colin Cole (FA),24,15,2,1,0,0,0,0,16,57.3,3.6,0.0%
210,2004,Colin Cole (FA),6,1,0,0,0,0,0,0,3,12.3,4.1,0.0%
