Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
315,2019,Dekoda Watson (FA),0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
312,2018,Dekoda Watson (FA),4,2,2,0,0,1,0,0,4,0.0,0.0,0.0%
331,2017,Dekoda Watson (FA),3,1,0,0,0,0,0,0,14,0.0,0.0,0.0%
329,2016,Dekoda Watson (FA),5,1,1,0,0,1,0,0,16,0.0,0.0,0.0%
357,2015,Dekoda Watson (FA),0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%
341,2014,Dekoda Watson (FA),3,5,0,0,0,0,0,0,10,0.0,0.0,0.0%
314,2013,Dekoda Watson (FA),29,8,2,1,1,1,1,0,15,0.0,0.0,0.0%
278,2012,Dekoda Watson (FA),2,0,0,0,0,0,2,0,16,0.0,0.0,0.0%
296,2011,Dekoda Watson (FA),15,2,1,2,0,1,1,1,14,0.0,0.0,0.0%
313,2010,Dekoda Watson (FA),16,2,0,1,0,0,0,0,15,0.0,0.0,0.0%
