Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
340,2019,Derrick Morgan (FA),0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
310,2018,Derrick Morgan (FA),19,6,0.5,3,0,0,1,0,13,0.0,0.0,0.0%
326,2017,Derrick Morgan (FA),16,16,7.5,2,0,0,2,0,14,0.0,0.0,0.0%
330,2016,Derrick Morgan (FA),24,9,9,1,0,0,0,0,15,0.0,0.0,0.0%
359,2015,Derrick Morgan (FA),17,7,4.5,2,0,1,0,0,10,0.0,0.0,0.0%
326,2014,Derrick Morgan (FA),43,20,6.5,7,0,2,0,0,16,0.0,0.0,0.0%
302,2013,Derrick Morgan (FA),29,6,6,2,0,1,1,0,15,0.0,0.0,0.0%
291,2012,Derrick Morgan (FA),35,24,6.5,5,0,1,1,0,16,0.0,0.0,0.0%
305,2011,Derrick Morgan (FA),22,8,2.5,2,0,0,0,0,15,0.0,0.0,0.0%
324,2010,Derrick Morgan (FA),3,2,1.5,1,0,0,0,0,4,0.0,0.0,0.0%
