Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
226,2020,Domata Peko Sr. (FA),6,10,0,0,0,0,0,0,6,16.5,2.8,0.0%
220,2019,Domata Peko Sr. (FA),7,7,0,0,0,0,0,0,8,15.9,2.0,0.0%
133,2018,Domata Peko Sr. (FA),20,12,0.5,2,0,0,0,0,16,49.4,3.1,0.0%
86,2017,Domata Peko Sr. (FA),24,14,1,0,0,0,1,0,14,69.7,5.0,0.0%
108,2016,Domata Peko Sr. (FA),17,20,0,3,0,0,1,0,16,54.3,3.4,0.0%
76,2015,Domata Peko Sr. (FA),17,18,5,1,0,0,0,0,16,75.7,4.7,0.0%
101,2014,Domata Peko Sr. (FA),26,20,1,0,0,0,0,0,16,63.3,4.0,0.0%
85,2013,Domata Peko Sr. (FA),24,28,3,0,0,0,0,0,16,74.3,4.6,0.0%
63,2012,Domata Peko Sr. (FA),23,30,2,3,0,0,1,0,16,86.4,5.4,0.0%
40,2011,Domata Peko Sr. (FA),34,32,2.5,0,0,1,1,0,16,108.4,6.8,0.0%
99,2010,Domata Peko Sr. (FA),24,18,0.5,1,0,0,0,0,16,63.4,4.0,0.0%
176,2009,Domata Peko Sr. (FA),12,11,0,1,0,0,0,0,11,30.4,2.8,0.0%
42,2008,Domata Peko Sr. (FA),29,38,0.5,2,0,0,0,0,16,84.9,5.3,0.0%
23,2007,Domata Peko Sr. (FA),36,16,1.5,1,0,0,1,0,16,77.9,4.9,0.0%
95,2006,Domata Peko Sr. (FA),21,22,2.5,0,0,1,0,0,16,62.2,3.9,0.0%
