Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
49,2021,Fletcher Cox (PHI),25,10,3.5,0,0,2,1,1,15,94.0,6.3,1.7%
30,2020,Fletcher Cox (PHI),28,13,6.5,1,0,1,0,0,15,106.2,7.1,1.7%
52,2019,Fletcher Cox (PHI),26,14,3.5,2,0,3,1,0,16,95.2,6.0,1.7%
23,2018,Fletcher Cox (PHI),30,10,10.5,1,0,1,1,0,16,134.3,8.4,1.7%
59,2017,Fletcher Cox (PHI),15,11,5.5,2,0,1,2,1,14,86.4,6.2,1.7%
30,2016,Fletcher Cox (PHI),27,16,6.5,2,0,1,1,0,16,112.2,7.0,1.7%
5,2015,Fletcher Cox (PHI),50,21,9.5,2,0,3,2,0,16,179.7,11.2,1.7%
17,2014,Fletcher Cox (PHI),48,13,4,0,0,1,3,1,16,140.1,8.8,1.7%
74,2013,Fletcher Cox (PHI),29,12,3,1,0,0,1,0,16,80.3,5.0,1.7%
41,2012,Fletcher Cox (PHI),32,7,5.5,3,0,1,0,0,15,103.9,6.9,1.7%
