Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
70,2019,Gerald McCoy (FA),15,22,5,2,0,0,0,0,16,79.9,5.0,0.0%
88,2018,Gerald McCoy (FA),17,11,6,1,0,0,0,0,14,74.5,5.3,0.0%
30,2017,Gerald McCoy (FA),33,14,6,1,0,0,0,0,15,118.2,7.9,0.0%
34,2016,Gerald McCoy (FA),26,8,7,5,0,2,2,0,15,109.4,7.3,0.0%
46,2015,Gerald McCoy (FA),26,8,8.5,1,0,0,0,0,15,100.8,6.7,0.0%
29,2014,Gerald McCoy (FA),28,7,8.5,3,0,1,0,0,13,122.5,9.4,0.0%
17,2013,Gerald McCoy (FA),35,15,9.5,4,0,0,1,0,16,149.6,9.4,0.0%
52,2012,Gerald McCoy (FA),23,7,5,2,0,1,1,0,16,93.5,5.8,0.0%
176,2011,Gerald McCoy (FA),10,1,1,0,0,0,0,0,6,27.3,4.6,0.0%
70,2010,Gerald McCoy (FA),22,6,3,5,0,2,0,0,13,82.7,6.4,0.0%
