Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
175,2011,Gerard Warren (FA),8,4,1,0,0,0,1,0,8,28.1,3.5,0.0%
109,2010,Gerard Warren (FA),17,11,3.5,0,0,0,0,0,15,58.1,3.9,0.0%
95,2009,Gerard Warren (FA),25,10,2,1,0,0,0,0,13,64.6,5.0,0.0%
78,2008,Gerard Warren (FA),23,6,2,0,0,1,0,0,12,63.8,5.3,0.0%
128,2007,Gerard Warren (FA),7,0,3,0,0,1,0,0,3,26.5,8.8,0.0%
116,2006,Gerard Warren (FA),22,8,2.5,3,0,0,0,0,14,53.8,3.8,0.0%
138,2005,Gerard Warren (FA),14,5,3,3,0,1,0,0,14,45.4,3.2,0.0%
121,2004,Gerard Warren (FA),13,6,4,0,0,2,0,0,11,55.6,5.1,0.0%
65,2003,Gerard Warren (FA),24,8,5.5,1,0,0,2,0,16,93.7,5.9,0.0%
61,2002,Gerard Warren (FA),30,10,2,2,0,2,2,0,14,97.4,7.0,0.0%
