Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
181,2013,Israel Idonije (FA),7,4,0.5,0,0,0,0,0,15,23.2,1.5,0.0%
32,2012,Israel Idonije (FA),29,19,7.5,0,0,1,0,0,16,112.1,7.0,0.0%
21,2011,Israel Idonije (FA),41,11,5,0,0,1,2,1,16,138.0,8.6,0.0%
15,2010,Israel Idonije (FA),32,16,8,3,0,3,0,0,16,133.9,8.4,0.0%
159,2009,Israel Idonije (FA),11,5,2.5,0,0,1,0,0,15,39.4,2.6,0.0%
70,2008,Israel Idonije (FA),21,2,3.5,6,0,0,0,0,16,68.5,4.3,0.0%
104,2007,Israel Idonije (FA),13,6,0,3,0,0,1,0,16,32.8,2.1,0.0%
164,2006,Israel Idonije (FA),9,4,0,1,0,0,2,0,13,26.2,2.0,0.0%
179,2005,Israel Idonije (FA),10,4,1,1,0,0,0,0,11,23.6,2.1,0.0%
170,2004,Israel Idonije (FA),10,3,1,1,0,0,0,0,13,30.4,2.3,0.0%
