Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
28,2011,James Hall (FA),38,12,6,2,0,0,0,0,15,115.7,7.7,0.0%
6,2010,James Hall (FA),49,6,10.5,2,0,6,0,0,16,167.1,10.4,0.0%
47,2009,James Hall (FA),39,3,4.5,1,0,0,0,0,13,95.4,7.3,0.0%
58,2008,James Hall (FA),19,3,5.5,0,0,0,0,0,11,75.3,6.8,0.0%
52,2007,James Hall (FA),26,11,2,1,0,0,0,0,8,56.9,7.1,0.0%
110,2006,James Hall (FA),17,8,5,0,0,1,0,0,7,55.6,7.9,0.0%
9,2005,James Hall (FA),52,8,5,1,0,3,0,0,13,130.1,10.0,0.0%
10,2004,James Hall (FA),38,10,11.5,5,1,4,1,0,16,168.3,10.5,0.0%
24,2003,James Hall (FA),48,14,4.5,0,0,2,1,0,16,132.7,8.3,0.0%
50,2002,James Hall (FA),34,15,2,3,0,0,2,1,16,109.0,6.8,0.0%
