Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
259,2012,Jeff Backus (FA),0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%
276,2011,Jeff Backus (FA),0,0,0,0,0,0,0,0,7,0.0,0.0,0.0%
276,2010,Jeff Backus (FA),0,0,0,0,0,0,0,0,4,0.0,0.0,0.0%
262,2009,Jeff Backus (FA),0,0,0,0,0,0,0,0,7,0.0,0.0,0.0%
293,2008,Jeff Backus (FA),0,0,0,0,0,0,0,0,7,0.0,0.0,0.0%
291,2007,Jeff Backus (FA),0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
333,2006,Jeff Backus (FA),0,0,0,0,0,0,0,0,11,0.0,0.0,0.0%
320,2005,Jeff Backus (FA),0,0,0,0,0,0,0,0,4,0.0,0.0,0.0%
330,2004,Jeff Backus (FA),0,0,0,0,0,0,0,0,8,0.0,0.0,0.0%
358,2003,Jeff Backus (FA),0,0,0,0,0,0,0,0,7,0.0,0.0,0.0%
347,2002,Jeff Backus (FA),0,0,0,0,0,0,0,0,6,0.0,0.0,0.0%
