Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
171,2021,Jerry Hughes (HOU),8,10,2,3,0,2,0,0,17,42.9,2.5,0.1%
43,2020,Jerry Hughes (HOU),19,10,4.5,3,1,2,2,1,15,95.7,6.4,0.1%
90,2019,Jerry Hughes (HOU),14,9,4.5,3,0,0,1,0,16,69.5,4.3,0.1%
31,2018,Jerry Hughes (HOU),30,7,7,1,0,3,0,0,16,124.5,7.8,0.1%
42,2017,Jerry Hughes (HOU),28,16,4,0,0,1,0,0,16,104.3,6.5,0.1%
31,2016,Jerry Hughes (HOU),31,17,6,3,0,1,0,0,16,112.1,7.0,0.1%
27,2015,Jerry Hughes (HOU),37,15,5,4,0,2,1,0,16,125.1,7.8,0.1%
10,2014,Jerry Hughes (HOU),36,17,10,0,0,3,1,1,16,161.7,10.1,0.1%
25,2013,Jerry Hughes (HOU),30,12,10,2,0,2,0,0,16,127.7,8.0,0.1%
73,2012,Jerry Hughes (HOU),23,11,4,1,0,0,0,0,16,77.9,4.9,0.1%
212,2011,Jerry Hughes (HOU),4,5,1,0,0,0,0,0,12,13.9,1.2,0.1%
220,2010,Jerry Hughes (HOU),6,0,0,0,0,0,0,0,12,11.5,1.0,0.1%
