Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
437,2019,John Denney (FA),0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
339,2018,John Denney (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
342,2017,John Denney (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
354,2016,John Denney (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
312,2015,John Denney (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
295,2014,John Denney (FA),0,0,0,0,0,0,1,0,16,0.0,0.0,0.0%
280,2013,John Denney (FA),0,0,0,0,0,0,1,0,16,0.0,0.0,0.0%
328,2012,John Denney (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
326,2011,John Denney (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
339,2010,John Denney (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
330,2009,John Denney (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
323,2008,John Denney (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
317,2007,John Denney (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
361,2006,John Denney (FA),0,0,0,0,0,0,1,0,15,0.0,0.0,0.0%
358,2005,John Denney (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
