Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
111,2011,John Henderson (FA),25,11,0,4,0,0,0,0,13,52.0,4.0,0.0%
123,2010,John Henderson (FA),24,6,0,3,0,0,0,0,9,50.2,5.6,0.0%
68,2009,John Henderson (FA),26,10,3,3,0,2,1,0,14,85.1,6.1,0.0%
80,2008,John Henderson (FA),25,5,2,2,0,0,0,0,10,62.4,6.2,0.0%
119,2007,John Henderson (FA),13,2,1,3,0,0,0,0,7,29.6,4.2,0.0%
39,2006,John Henderson (FA),38,13,3.5,6,0,0,0,0,15,89.9,6.0,0.0%
16,2005,John Henderson (FA),53,17,3,7,0,1,0,0,15,119.2,7.9,0.0%
16,2004,John Henderson (FA),62,13,5.5,4,0,0,1,0,16,157.5,9.8,0.0%
14,2003,John Henderson (FA),47,11,3.5,7,0,3,1,0,15,144.3,9.6,0.0%
12,2002,John Henderson (FA),45,9,6.5,6,0,1,2,0,15,146.5,9.8,0.0%
