Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
203,2020,Jurrell Casey (FA),7,7,0,3,0,0,0,0,3,22.9,7.6,0.1%
47,2019,Jurrell Casey (FA),26,18,5,0,0,1,2,0,14,97.2,6.9,0.1%
20,2018,Jurrell Casey (FA),36,26,7,0,0,2,1,0,15,141.4,9.4,0.1%
20,2017,Jurrell Casey (FA),41,19,6,1,0,1,0,0,16,135.7,8.5,0.1%
40,2016,Jurrell Casey (FA),31,13,5,5,0,0,0,0,15,105.6,7.0,0.1%
26,2015,Jurrell Casey (FA),34,20,7,3,0,0,0,0,16,129.3,8.1,0.1%
21,2014,Jurrell Casey (FA),46,22,5,0,0,0,0,0,16,138.4,8.7,0.1%
15,2013,Jurrell Casey (FA),38,17,10.5,2,0,1,1,0,15,150.4,10.0,0.1%
45,2012,Jurrell Casey (FA),34,20,3,0,0,2,0,0,16,101.3,6.3,0.1%
46,2011,Jurrell Casey (FA),39,13,2.5,1,0,1,1,0,16,105.5,6.6,0.1%
