Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
75,2021,Justin Houston (BAL),19,15,4.5,1,0,1,1,0,15,82.5,5.5,0.8%
37,2020,Justin Houston (BAL),19,6,8,0,0,1,2,0,16,97.3,6.1,0.8%
13,2019,Justin Houston (BAL),33,11,11,0,0,2,3,0,16,154.6,9.7,0.8%
18,2018,Justin Houston (BAL),28,9,9,1,1,5,3,0,12,143.4,12.0,0.8%
7,2017,Justin Houston (BAL),46,13,9.5,5,0,0,1,1,15,174.5,11.6,0.8%
90,2016,Justin Houston (BAL),20,1,4,1,0,1,0,0,5,67.3,13.5,0.8%
30,2015,Justin Houston (BAL),25,5,7.5,6,2,1,0,1,11,122.9,11.2,0.8%
2,2014,Justin Houston (BAL),60,9,22,5,0,4,0,0,16,266.0,16.6,0.8%
12,2013,Justin Houston (BAL),41,3,11,4,0,1,2,0,11,153.4,13.9,0.8%
4,2012,Justin Houston (BAL),53,13,10,6,1,1,1,0,16,184.2,11.5,0.8%
24,2011,Justin Houston (BAL),43,8,5.5,4,0,1,1,0,16,131.7,8.2,0.8%
