Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
343,2019,Kyle Williams (FA),0,0,0,0,0,0,0,0,1,0.0,0.0,3.7%
65,2018,Kyle Williams (FA),22,13,5,1,0,1,1,0,16,87.6,5.5,3.7%
77,2017,Kyle Williams (FA),21,20,3,2,0,0,1,0,16,73.4,4.6,3.7%
24,2016,Kyle Williams (FA),42,22,5,0,0,0,0,0,15,127.5,8.5,3.7%
198,2015,Kyle Williams (FA),6,8,1,0,0,0,0,0,6,24.2,4.0,3.7%
39,2014,Kyle Williams (FA),30,11,5.5,3,1,0,0,0,15,105.2,7.0,3.7%
8,2013,Kyle Williams (FA),42,26,10.5,1,0,1,1,0,16,169.5,10.6,3.7%
42,2012,Kyle Williams (FA),27,19,5,2,0,0,0,0,16,103.2,6.5,3.7%
213,2011,Kyle Williams (FA),4,5,0,1,0,0,0,0,5,13.8,2.8,3.7%
4,2010,Kyle Williams (FA),54,22,5.5,1,0,0,2,0,16,169.4,10.6,3.7%
13,2009,Kyle Williams (FA),41,25,4,0,0,1,0,0,14,135.6,9.7,3.7%
285,2009,Kyle Williams (FA),0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
27,2008,Kyle Williams (FA),37,18,2,0,0,1,0,0,16,96.4,6.0,3.7%
272,2008,Kyle Williams (FA),0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%
30,2007,Kyle Williams (FA),28,13,2,0,0,0,1,0,16,69.1,4.3,3.7%
89,2006,Kyle Williams (FA),33,20,0,0,0,0,0,0,16,64.7,4.0,3.7%
