Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
164,2016,Mario Williams (FA),9,4,1.5,1,0,0,0,0,13,34.2,2.6,0.0%
101,2015,Mario Williams (FA),15,4,5,0,0,0,0,0,15,60.6,4.0,0.0%
6,2014,Mario Williams (FA),36,6,14.5,2,0,2,0,0,16,175.3,11.0,0.0%
18,2013,Mario Williams (FA),28,10,13,3,0,1,0,0,16,147.8,9.2,0.0%
13,2012,Mario Williams (FA),37,9,10.5,4,0,2,2,0,16,156.4,9.8,0.0%
114,2011,Mario Williams (FA),10,1,5,1,0,1,0,0,5,51.3,10.3,0.0%
41,2010,Mario Williams (FA),22,6,8.5,2,0,1,0,0,13,101.2,7.8,0.0%
9,2009,Mario Williams (FA),38,5,9,3,0,2,1,0,16,146.0,9.1,0.0%
3,2008,Mario Williams (FA),44,9,12,0,0,4,0,0,16,179.6,11.2,0.0%
2,2007,Mario Williams (FA),43,16,14,1,0,2,1,1,16,154.7,9.7,0.0%
33,2006,Mario Williams (FA),35,12,4.5,4,0,1,1,0,16,93.9,5.9,0.0%
