Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
146,2021,Melvin Ingram III (MIA),12,13,2,1,0,1,0,0,15,50.8,3.4,0.3%
218,2020,Melvin Ingram III (MIA),5,5,0,2,1,0,0,0,7,19.3,2.8,0.3%
19,2019,Melvin Ingram III (MIA),39,9,7,5,1,0,1,0,13,137.5,10.6,0.3%
32,2018,Melvin Ingram III (MIA),28,15,7,3,1,1,1,0,16,119.2,7.5,0.3%
6,2017,Melvin Ingram III (MIA),43,13,10.5,1,0,1,2,1,16,178.6,11.2,0.3%
3,2016,Melvin Ingram III (MIA),46,14,8,5,0,4,0,0,16,160.4,10.0,0.3%
3,2015,Melvin Ingram III (MIA),52,13,10.5,6,0,3,1,0,16,189.9,11.9,0.3%
71,2014,Melvin Ingram III (MIA),21,8,4,1,0,2,0,0,9,75.7,8.4,0.3%
195,2013,Melvin Ingram III (MIA),4,4,1,0,0,1,0,0,4,19.6,4.9,0.3%
100,2012,Melvin Ingram III (MIA),16,13,1,5,0,1,0,0,16,59.7,3.7,0.3%
