Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
96,2021,Michael Brockers (DET),23,29,1,0,0,0,0,0,16,70.6,4.4,1.1%
57,2020,Michael Brockers (DET),21,30,5,0,0,0,0,0,15,86.8,5.8,1.1%
55,2019,Michael Brockers (DET),34,29,3,1,0,0,0,0,16,94.1,5.9,1.1%
76,2018,Michael Brockers (DET),33,21,1,0,0,0,0,0,16,79.6,5.0,1.1%
34,2017,Michael Brockers (DET),39,16,4.5,4,0,0,0,0,16,114.8,7.2,1.1%
171,2016,Michael Brockers (DET),14,5,0,2,0,0,0,0,14,30.4,2.2,1.1%
55,2015,Michael Brockers (DET),27,17,3,0,0,0,0,0,16,95.4,6.0,1.1%
92,2014,Michael Brockers (DET),24,8,2,1,0,0,1,0,16,68.1,4.3,1.1%
45,2013,Michael Brockers (DET),38,8,5.5,0,0,1,0,0,16,106.7,6.7,1.1%
75,2012,Michael Brockers (DET),20,11,4,1,0,1,0,0,13,77.4,6.0,1.1%
