Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
105,2011,Raheem Brock (FA),16,13,3,0,0,1,0,0,15,57.6,3.8,0.0%
32,2010,Raheem Brock (FA),26,6,9,3,0,1,1,0,14,109.8,7.8,0.0%
79,2009,Raheem Brock (FA),25,7,3.5,1,0,0,2,0,14,74.0,5.3,0.0%
68,2008,Raheem Brock (FA),23,4,3.5,0,0,2,1,0,12,71.1,5.9,0.0%
77,2007,Raheem Brock (FA),19,6,0.5,2,0,0,1,0,8,42.3,5.3,0.0%
25,2006,Raheem Brock (FA),34,14,3,2,0,3,3,0,16,100.9,6.3,0.0%
21,2005,Raheem Brock (FA),36,9,6.5,2,0,4,1,0,14,110.1,7.9,0.0%
21,2004,Raheem Brock (FA),36,11,6.5,4,0,1,2,0,15,141.6,9.4,0.0%
80,2003,Raheem Brock (FA),23,14,2,3,0,0,3,0,14,82.2,5.9,0.0%
162,2002,Raheem Brock (FA),12,7,1,1,0,1,1,0,10,36.9,3.7,0.0%
