Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
114,2012,Richard Seymour (FA),12,3,3,2,0,0,1,0,8,49.4,6.2,0.0%
72,2011,Richard Seymour (FA),23,6,6,3,0,0,0,0,14,80.2,5.7,0.0%
24,2010,Richard Seymour (FA),36,12,5.5,2,0,0,1,0,13,117.3,9.0,0.0%
34,2009,Richard Seymour (FA),30,17,4,3,0,1,0,0,15,102.7,6.8,0.0%
16,2008,Richard Seymour (FA),29,14,7,0,0,0,1,0,11,108.7,9.9,0.0%
197,2007,Richard Seymour (FA),4,1,0,0,0,0,0,0,1,6.8,6.8,0.0%
44,2006,Richard Seymour (FA),23,18,4,8,1,0,1,0,15,85.4,5.7,0.0%
43,2005,Richard Seymour (FA),36,11,4,4,0,1,1,0,12,92.5,7.7,0.0%
55,2004,Richard Seymour (FA),25,15,5,1,0,1,1,1,14,96.9,6.9,0.0%
15,2003,Richard Seymour (FA),34,22,8,10,0,1,0,0,15,141.4,9.4,0.0%
25,2002,Richard Seymour (FA),33,23,5.5,3,1,0,1,0,15,132.7,8.8,0.0%
