Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
494,2021,Robert Quinn (CHI),38,11,18.5,0,0,4,0,0,16,0.0,0.0,23.3%
362,2020,Robert Quinn (CHI),14,6,2,0,0,3,1,0,15,0.0,0.0,23.3%
333,2019,Robert Quinn (CHI),26,8,11.5,3,0,2,0,0,14,0.0,0.0,23.3%
268,2018,Robert Quinn (CHI),25,13,6.5,0,0,2,0,0,16,3.8,0.2,23.3%
324,2017,Robert Quinn (CHI),21,11,8.5,1,0,2,0,0,15,0.0,0.0,23.3%
324,2016,Robert Quinn (CHI),8,2,4,2,0,2,0,0,9,0.0,0.0,23.3%
80,2015,Robert Quinn (CHI),13,8,5,3,0,3,0,0,8,73.3,9.2,23.3%
302,2014,Robert Quinn (CHI),39,7,10.5,6,0,5,0,0,16,0.0,0.0,23.3%
292,2013,Robert Quinn (CHI),50,7,19,1,0,7,2,1,16,0.0,0.0,23.3%
297,2012,Robert Quinn (CHI),24,5,10.5,2,0,1,0,0,16,0.0,0.0,23.3%
314,2011,Robert Quinn (CHI),19,3,5,2,0,0,0,0,15,0.0,0.0,23.3%
