Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
130,2012,Rocky Bernard (FA),16,14,1,0,0,0,0,0,11,43.9,4.0,0.0%
128,2011,Rocky Bernard (FA),15,15,0,3,0,1,1,0,15,46.6,3.1,0.0%
131,2010,Rocky Bernard (FA),16,2,2,4,0,0,0,0,11,47.1,4.3,0.0%
155,2009,Rocky Bernard (FA),16,6,1,0,0,0,0,0,13,40.2,3.1,0.0%
21,2008,Rocky Bernard (FA),39,10,3,1,0,1,1,0,13,105.3,8.1,0.0%
88,2007,Rocky Bernard (FA),14,5,2.5,0,0,0,1,0,8,38.9,4.9,0.0%
67,2006,Rocky Bernard (FA),24,12,3.5,1,0,2,1,0,15,72.7,4.8,0.0%
13,2005,Rocky Bernard (FA),43,9,8.5,3,0,0,2,0,16,123.1,7.7,0.0%
70,2004,Rocky Bernard (FA),26,13,3.5,6,0,0,1,0,12,88.4,7.4,0.0%
152,2003,Rocky Bernard (FA),11,5,2,1,0,0,0,0,9,39.9,4.4,0.0%
59,2002,Rocky Bernard (FA),34,15,4,1,0,1,0,0,14,99.1,7.1,0.0%
