Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
207,2021,Steve McLendon (FA),7,4,0.5,1,1,1,0,0,10,28.6,2.9,0.0%
157,2020,Steve McLendon (FA),15,16,0,0,0,0,0,0,15,39.8,2.7,0.0%
69,2019,Steve McLendon (FA),21,15,2.5,0,0,0,1,0,16,82.0,5.1,0.0%
123,2018,Steve McLendon (FA),21,13,0,1,0,0,0,0,16,53.0,3.3,0.0%
66,2017,Steve McLendon (FA),30,16,1.5,0,0,0,0,0,16,80.7,5.0,0.0%
80,2016,Steve McLendon (FA),20,8,3.5,0,0,1,0,0,11,71.8,6.5,0.0%
173,2015,Steve McLendon (FA),11,3,1,1,0,0,0,0,16,34.4,2.2,0.0%
163,2014,Steve McLendon (FA),12,9,1,0,0,0,0,0,12,38.9,3.2,0.0%
130,2013,Steve McLendon (FA),20,13,0,0,0,1,0,0,14,46.4,3.3,0.0%
176,2012,Steve McLendon (FA),4,3,2,0,0,1,0,0,16,25.4,1.6,0.0%
189,2011,Steve McLendon (FA),9,4,1,0,0,0,0,0,14,23.2,1.7,0.0%
231,2010,Steve McLendon (FA),2,0,0,0,0,0,1,0,7,7.0,1.0,0.0%
