Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
328,2019,Terrell Suggs (FA),24,16,6.5,0,0,4,1,0,15,0.0,0.0,0.0%
307,2018,Terrell Suggs (FA),25,9,7,6,0,1,1,1,16,0.0,0.0,0.0%
319,2017,Terrell Suggs (FA),37,12,11,4,0,4,0,0,16,0.0,0.0,0.0%
318,2016,Terrell Suggs (FA),28,7,8,4,0,3,0,0,15,0.0,0.0,0.0%
334,2015,Terrell Suggs (FA),0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
305,2014,Terrell Suggs (FA),36,25,12,1,0,0,1,0,16,0.0,0.0,0.0%
299,2013,Terrell Suggs (FA),47,33,10,0,0,0,1,0,16,0.0,0.0,0.0%
306,2012,Terrell Suggs (FA),17,5,2,4,0,0,0,0,8,0.0,0.0,0.0%
324,2011,Terrell Suggs (FA),50,20,14,6,2,7,0,0,16,0.0,0.0,0.0%
334,2010,Terrell Suggs (FA),53,15,11,2,0,2,0,0,16,0.0,0.0,0.0%
324,2009,Terrell Suggs (FA),44,15,4.5,5,0,1,1,0,13,0.0,0.0,0.0%
319,2008,Terrell Suggs (FA),54,15,8,9,2,2,0,2,16,0.0,0.0,0.0%
316,2007,Terrell Suggs (FA),51,27,5,6,0,1,0,0,16,0.0,0.0,0.0%
360,2006,Terrell Suggs (FA),47,18,9.5,7,0,3,2,0,16,0.0,0.0,0.0%
356,2005,Terrell Suggs (FA),46,23,8,5,2,4,1,0,16,0.0,0.0,0.0%
378,2004,Terrell Suggs (FA),46,14,10.5,1,0,1,2,0,16,0.0,0.0,0.0%
367,2003,Terrell Suggs (FA),19,8,12,3,1,6,4,0,14,0.0,0.0,0.0%
