Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
304,2021,Tyson Alualu (PIT),2,3,0,0,0,0,0,0,3,5.3,1.8,0.4%
82,2020,Tyson Alualu (PIT),17,21,2,5,0,1,0,0,15,71.0,4.7,0.4%
97,2019,Tyson Alualu (PIT),21,20,1,2,0,1,0,0,16,67.8,4.2,0.4%
181,2018,Tyson Alualu (PIT),12,10,0,0,0,0,0,0,15,28.3,1.9,0.4%
65,2017,Tyson Alualu (PIT),25,14,4,1,0,0,0,0,16,80.8,5.1,0.4%
74,2016,Tyson Alualu (PIT),28,8,2.5,0,0,1,0,0,14,77.3,5.5,0.4%
94,2015,Tyson Alualu (PIT),18,8,2,2,0,0,1,0,16,63.2,4.0,0.4%
137,2014,Tyson Alualu (PIT),13,17,2,0,0,0,0,0,16,45.4,2.8,0.4%
91,2013,Tyson Alualu (PIT),33,9,1.5,1,0,0,0,0,16,71.4,4.5,0.4%
62,2012,Tyson Alualu (PIT),34,11,3.5,1,0,0,1,0,16,86.5,5.4,0.4%
80,2011,Tyson Alualu (PIT),21,19,2.5,1,0,1,1,0,16,73.0,4.6,0.4%
67,2010,Tyson Alualu (PIT),29,9,3.5,1,0,0,0,0,16,83.5,5.2,0.4%
