Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
177,2016,Vince Wilfork (FA),9,12,0,1,0,0,0,0,15,29.2,1.9,0.0%
206,2015,Vince Wilfork (FA),6,16,0,0,0,0,0,0,16,21.2,1.3,0.0%
95,2014,Vince Wilfork (FA),24,23,0,2,1,0,0,0,16,66.6,4.2,0.0%
229,2013,Vince Wilfork (FA),4,5,0,0,0,0,0,0,4,9.8,2.5,0.0%
28,2012,Vince Wilfork (FA),29,19,3,6,0,2,4,0,16,118.1,7.4,0.0%
25,2011,Vince Wilfork (FA),29,23,3.5,5,2,1,2,1,16,125.7,7.9,0.0%
29,2010,Vince Wilfork (FA),46,11,2,2,0,0,1,0,16,112.7,7.0,0.0%
78,2009,Vince Wilfork (FA),31,12,0,3,0,1,0,0,13,74.2,5.7,0.0%
24,2008,Vince Wilfork (FA),45,21,2,1,0,0,0,0,16,100.7,6.3,0.0%
22,2007,Vince Wilfork (FA),36,12,2,2,0,0,1,0,16,78.3,4.9,0.0%
57,2006,Vince Wilfork (FA),41,10,1,1,0,0,1,0,13,78.8,6.1,0.0%
61,2005,Vince Wilfork (FA),40,14,0.5,1,0,0,1,0,15,78.5,5.2,0.0%
88,2004,Vince Wilfork (FA),27,15,2,3,0,0,2,0,16,75.0,4.7,0.0%
