Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
484,2021,Vinny Curry (NYJ),0,0,0,0,0,0,0,0,2,0.0,0.0,0.1%
142,2020,Vinny Curry (NYJ),12,4,3,0,0,0,1,0,11,44.6,4.1,0.1%
96,2019,Vinny Curry (NYJ),20,7,5,0,0,0,0,0,16,67.9,4.2,0.1%
132,2018,Vinny Curry (NYJ),15,6,2.5,0,0,0,0,0,12,49.7,4.1,0.1%
52,2017,Vinny Curry (NYJ),25,17,3,0,0,1,0,0,16,91.6,5.7,0.1%
103,2016,Vinny Curry (NYJ),18,8,2.5,0,0,0,0,0,16,58.3,3.6,0.1%
155,2015,Vinny Curry (NYJ),9,3,3.5,0,0,0,0,0,16,39.9,2.5,0.1%
46,2014,Vinny Curry (NYJ),17,2,9,0,0,4,1,0,16,100.6,6.3,0.1%
103,2013,Vinny Curry (NYJ),17,5,4,2,0,0,0,0,14,61.0,4.4,0.1%
203,2012,Vinny Curry (NYJ),8,1,0,0,0,0,0,0,6,15.3,2.6,0.1%
