Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
495,2021,Von Miller (BUF),32,17,8.5,1,0,0,0,0,15,0.0,0.0,26.9%
332,2019,Von Miller (BUF),33,13,8,2,0,0,0,0,15,0.0,0.0,26.9%
309,2018,Von Miller (BUF),29,19,14.5,3,1,4,3,0,16,0.0,0.0,26.9%
323,2017,Von Miller (BUF),51,6,10,3,0,2,1,0,16,0.0,0.0,26.9%
323,2016,Von Miller (BUF),62,16,13.5,3,0,3,0,0,16,0.0,0.0,26.9%
331,2015,Von Miller (BUF),30,5,11,1,0,4,3,0,16,0.0,0.0,26.9%
301,2014,Von Miller (BUF),43,17,14,2,0,1,1,0,16,0.0,0.0,26.9%
291,2013,Von Miller (BUF),27,7,5,1,0,3,1,1,9,0.0,0.0,26.9%
296,2012,Von Miller (BUF),55,13,18.5,2,1,6,0,1,16,0.0,0.0,26.9%
313,2011,Von Miller (BUF),50,14,11.5,4,0,2,0,0,15,0.0,0.0,26.9%
