Rank,year,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST
26,2021,Baltimore Ravens (BAL),34,9,6,8,1,0,0,17,85.0,5.0,86.6%
5,2020,Baltimore Ravens (BAL),39,10,12,22,3,2,1,16,141.0,8.8,86.6%
4,2019,Baltimore Ravens (BAL),37,13,12,15,6,0,0,16,153.0,9.6,86.6%
6,2018,Baltimore Ravens (BAL),43,12,5,8,3,0,1,16,126.0,7.9,86.6%
2,2017,Baltimore Ravens (BAL),41,22,12,15,5,0,2,16,174.0,10.9,86.6%
10,2016,Baltimore Ravens (BAL),31,18,10,11,1,0,1,16,122.0,7.6,86.6%
23,2015,Baltimore Ravens (BAL),37,6,8,7,2,0,2,16,92.0,5.8,86.6%
6,2014,Baltimore Ravens (BAL),49,11,11,14,1,1,2,16,138.0,8.6,86.6%
18,2013,Baltimore Ravens (BAL),40,16,7,14,1,0,2,16,111.0,6.9,86.6%
19,2012,Baltimore Ravens (BAL),37,13,12,6,2,0,3,16,115.0,7.2,86.6%
4,2011,Baltimore Ravens (BAL),48,15,11,21,4,0,1,16,158.0,9.9,86.6%
14,2010,Baltimore Ravens (BAL),27,19,8,12,3,0,1,16,129.0,8.1,86.6%
6,2009,Baltimore Ravens (BAL),32,22,10,13,3,0,1,16,155.0,9.7,86.6%
2,2008,Baltimore Ravens (BAL),34,26,8,13,6,3,0,16,207.0,12.9,86.6%
24,2007,Baltimore Ravens (BAL),32,17,6,8,1,0,3,16,171.0,10.7,86.6%
1,2006,Baltimore Ravens (BAL),60,28,12,12,6,2,0,16,239.0,14.9,86.6%
10,2005,Baltimore Ravens (BAL),42,11,15,16,3,0,0,16,142.0,8.9,86.6%
2,2004,Baltimore Ravens (BAL),39,21,13,16,6,0,2,16,180.0,11.3,86.6%
2,2003,Baltimore Ravens (BAL),47,24,17,21,4,0,2,16,212.0,13.3,86.6%
11,2002,Baltimore Ravens (BAL),33,25,6,12,2,0,3,16,138.0,8.6,86.6%
