Rank,year,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST
4,2021,Buffalo Bills (BUF),42,19,11,10,1,0,0,17,151.0,8.9,99.0%
9,2020,Buffalo Bills (BUF),38,15,11,14,3,0,1,16,118.0,7.4,99.0%
9,2019,Buffalo Bills (BUF),44,14,9,15,0,1,1,16,137.0,8.6,99.0%
17,2018,Buffalo Bills (BUF),36,16,11,18,0,1,0,16,107.0,6.7,99.0%
21,2017,Buffalo Bills (BUF),27,18,7,13,3,0,0,16,104.0,6.5,99.0%
16,2016,Buffalo Bills (BUF),39,12,6,9,3,0,0,16,103.0,6.4,99.0%
20,2015,Buffalo Bills (BUF),21,17,8,5,3,1,0,16,98.0,6.1,99.0%
3,2014,Buffalo Bills (BUF),54,19,11,13,1,1,2,16,158.0,9.9,99.0%
9,2013,Buffalo Bills (BUF),57,23,6,12,3,0,0,16,143.0,8.9,99.0%
27,2012,Buffalo Bills (BUF),36,12,9,18,1,1,3,16,78.0,4.9,99.0%
11,2011,Buffalo Bills (BUF),29,20,11,13,6,1,1,16,130.0,8.1,99.0%
29,2010,Buffalo Bills (BUF),27,11,11,12,3,0,1,16,84.0,5.3,99.0%
9,2009,Buffalo Bills (BUF),32,28,5,12,2,0,0,16,136.0,8.5,99.0%
19,2008,Buffalo Bills (BUF),24,10,12,12,3,0,2,16,133.0,8.3,99.0%
17,2007,Buffalo Bills (BUF),26,18,12,11,3,2,2,16,188.0,11.8,99.0%
9,2006,Buffalo Bills (BUF),40,13,11,13,4,0,1,16,144.0,9.0,99.0%
20,2005,Buffalo Bills (BUF),38,17,13,12,1,1,1,16,115.0,7.2,99.0%
1,2004,Buffalo Bills (BUF),45,24,15,20,4,1,5,16,184.0,11.5,99.0%
14,2003,Buffalo Bills (BUF),38,10,8,14,3,3,0,16,130.0,8.1,99.0%
31,2002,Buffalo Bills (BUF),31,10,9,10,2,0,1,16,82.0,5.1,99.0%
