Rank,year,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST
23,2021,Carolina Panthers (CAR),39,9,7,11,0,1,1,17,89.0,5.2,2.6%
16,2020,Carolina Panthers (CAR),29,7,15,13,3,0,0,16,99.0,6.2,2.6%
22,2019,Carolina Panthers (CAR),53,14,7,8,1,2,0,16,95.0,5.9,2.6%
26,2018,Carolina Panthers (CAR),35,13,9,13,1,0,0,16,90.0,5.6,2.6%
10,2017,Carolina Panthers (CAR),50,10,11,13,1,0,2,16,125.0,7.8,2.6%
9,2016,Carolina Panthers (CAR),47,17,10,17,3,1,0,16,124.0,7.8,2.6%
3,2015,Carolina Panthers (CAR),44,24,15,20,4,0,0,16,167.0,10.4,2.6%
19,2014,Carolina Panthers (CAR),40,14,12,20,2,0,1,16,113.0,7.1,2.6%
2,2013,Carolina Panthers (CAR),60,20,10,11,4,0,0,16,190.0,11.9,2.6%
16,2012,Carolina Panthers (CAR),39,11,12,15,3,1,0,16,118.0,7.4,2.6%
31,2011,Carolina Panthers (CAR),31,14,10,10,0,2,1,16,80.0,5.0,2.6%
27,2010,Carolina Panthers (CAR),31,17,12,13,1,1,0,16,102.0,6.4,2.6%
7,2009,Carolina Panthers (CAR),31,22,15,20,1,2,0,16,143.0,8.9,2.6%
15,2008,Carolina Panthers (CAR),37,12,13,15,2,0,0,16,152.0,9.5,2.6%
18,2007,Carolina Panthers (CAR),23,14,16,17,2,0,0,16,187.0,11.7,2.6%
19,2006,Carolina Panthers (CAR),41,14,8,15,2,1,0,16,123.0,7.7,2.6%
2,2005,Carolina Panthers (CAR),45,23,19,16,3,0,0,16,193.0,12.1,2.6%
12,2004,Carolina Panthers (CAR),34,26,12,19,3,0,0,16,145.0,9.1,2.6%
11,2003,Carolina Panthers (CAR),40,16,10,12,3,1,2,16,143.0,8.9,2.6%
5,2002,Carolina Panthers (CAR),52,17,16,20,2,1,2,16,159.0,9.9,2.6%
